Time,Weight
"04/03/2019, 20:16:23",10
"04/03/2019, 20:16:43",9.99079574
"04/03/2019, 20:17:03",9.99079574
"04/03/2019, 20:17:23",9.986198167
"04/03/2019, 20:17:43",9.963255769
"04/03/2019, 20:18:03",9.977012121
"04/03/2019, 20:18:23",9.972423644
"04/03/2019, 20:18:43",9.967838194
"04/03/2019, 20:19:03",9.926704972
"04/03/2019, 20:19:23",9.958676366
"04/03/2019, 20:19:43",9.908501725
"04/03/2019, 20:20:03",9.899418073
"04/03/2019, 20:20:23",9.890346377
"04/03/2019, 20:20:43",9.881286616
"04/03/2019, 20:21:03",9.872238772
"04/03/2019, 20:21:23",9.863202827
"04/03/2019, 20:21:43",9.926704972
"04/03/2019, 20:22:03",9.845166555
"04/03/2019, 20:22:23",9.83616619
"04/03/2019, 20:22:43",9.827177648
"04/03/2019, 20:23:03",9.81820091
"04/03/2019, 20:23:23",9.809235957
"04/03/2019, 20:23:43",9.899418073
"04/03/2019, 20:24:03",9.894880732
"04/03/2019, 20:24:23",9.782411619
"04/03/2019, 20:24:43",9.885815005
"04/03/2019, 20:25:03",9.76458731
"04/03/2019, 20:25:23",9.755692674
"04/03/2019, 20:25:43",9.872238772
"04/03/2019, 20:26:03",9.737938347
"04/03/2019, 20:26:23",9.729078619
"04/03/2019, 20:26:43",9.85868931
"04/03/2019, 20:27:03",9.711393942
"04/03/2019, 20:27:23",9.849671177
"04/03/2019, 20:27:43",9.845166555
"04/03/2019, 20:28:03",9.840664894
"04/03/2019, 20:28:23",9.83616619
"04/03/2019, 20:28:43",9.667384269
"04/03/2019, 20:29:03",9.65861682
"04/03/2019, 20:29:23",9.822687805
"04/03/2019, 20:29:43",9.641116262
"04/03/2019, 20:30:03",9.632383118
"04/03/2019, 20:30:23",9.809235957
"04/03/2019, 20:30:43",9.614951005
"04/03/2019, 20:31:03",9.80028277
"04/03/2019, 20:31:23",9.597564343
"04/03/2019, 20:31:43",9.588888011
"04/03/2019, 20:32:03",9.580222987
"04/03/2019, 20:32:23",9.782411619
"04/03/2019, 20:32:43",9.562926794
"04/03/2019, 20:33:03",9.55429559
"04/03/2019, 20:33:23",9.769039004
"04/03/2019, 20:33:43",9.76458731
"04/03/2019, 20:34:03",9.528469329
"04/03/2019, 20:34:23",9.755692674
"04/03/2019, 20:34:43",9.751249728
"04/03/2019, 20:35:03",9.746809692
"04/03/2019, 20:35:23",9.742372566
"04/03/2019, 20:35:43",9.737938347
"04/03/2019, 20:36:03",9.733507032
"04/03/2019, 20:36:23",9.729078619
"04/03/2019, 20:36:43",9.724653106
"04/03/2019, 20:37:03",9.72023049
"04/03/2019, 20:37:23",9.443106105
"04/03/2019, 20:37:43",9.711393942
"04/03/2019, 20:38:03",9.706980005
"04/03/2019, 20:38:23",9.417712612
"04/03/2019, 20:38:43",9.409270052
"04/03/2019, 20:39:03",9.400838432
"04/03/2019, 20:39:23",9.689353116
"04/03/2019, 20:39:43",9.384007945
"04/03/2019, 20:40:03",9.680556956
"04/03/2019, 20:40:23",9.367221012
"04/03/2019, 20:40:43",9.671772293
"04/03/2019, 20:41:03",9.350477498
"04/03/2019, 20:41:23",9.34212198
"04/03/2019, 20:41:43",9.65861682
"04/03/2019, 20:42:03",9.325443337
"04/03/2019, 20:42:23",9.649860824
"04/03/2019, 20:42:43",9.308807773
"04/03/2019, 20:43:03",9.641116262
"04/03/2019, 20:43:23",9.636748264
"04/03/2019, 20:43:43",9.632383118
"04/03/2019, 20:44:03",9.275665341
"04/03/2019, 20:44:23",9.267406447
"04/03/2019, 20:44:43",9.619304767
"04/03/2019, 20:45:03",9.614951005
"04/03/2019, 20:45:23",9.610600085
"04/03/2019, 20:45:43",9.234477224
"04/03/2019, 20:46:03",9.601906756
"04/03/2019, 20:46:23",9.597564343
"04/03/2019, 20:46:43",9.209891514
"04/03/2019, 20:47:03",9.588888011
"04/03/2019, 20:47:23",9.193553747
"04/03/2019, 20:47:43",9.185400627
"04/03/2019, 20:48:03",9.177257994
"04/03/2019, 20:48:23",9.571569254
"04/03/2019, 20:48:43",9.161004121
"04/03/2019, 20:49:03",9.15289285
"04/03/2019, 20:49:23",9.558609786
"04/03/2019, 20:49:43",9.55429559
"04/03/2019, 20:50:03",9.128621499
"04/03/2019, 20:50:23",9.545675622
"04/03/2019, 20:50:43",9.541369847
"04/03/2019, 20:51:03",9.104443502
"04/03/2019, 20:51:23",9.096404839
"04/03/2019, 20:51:43",9.088376485
"04/03/2019, 20:52:03",9.524174751
"04/03/2019, 20:52:23",9.519882967
"04/03/2019, 20:52:43",9.064353112
"04/03/2019, 20:53:03",9.511307772
"04/03/2019, 20:53:23",9.507024357
"04/03/2019, 20:53:43",9.502743726
"04/03/2019, 20:54:03",9.498465879
"04/03/2019, 20:54:23",9.024518829
"04/03/2019, 20:54:43",9.01658253
"04/03/2019, 20:55:03",9.00865638
"04/03/2019, 20:55:23",9.000740363
"04/03/2019, 20:55:43",9.477118307
"04/03/2019, 20:56:03",9.472857111
"04/03/2019, 20:56:23",9.468598682
"04/03/2019, 20:56:43",8.969177314
"04/03/2019, 20:57:03",9.460090118
"04/03/2019, 20:57:23",9.455839979
"04/03/2019, 20:57:43",8.945610659
"04/03/2019, 20:58:03",8.937775144
"04/03/2019, 20:58:23",8.929949622
"04/03/2019, 20:58:43",9.438866988
"04/03/2019, 20:59:03",8.914328493
"04/03/2019, 20:59:23",8.906532856
"04/03/2019, 20:59:43",9.426166129
"04/03/2019, 21:00:03",9.421938
"04/03/2019, 21:00:23",9.417712612
"04/03/2019, 21:00:43",9.413489963
"04/03/2019, 21:01:03",9.409270052
"04/03/2019, 21:01:23",9.405052876
"04/03/2019, 21:01:43",8.852240602
"04/03/2019, 21:02:03",8.844523983
"04/03/2019, 21:02:23",8.836817173
"04/03/2019, 21:02:43",9.388211478
"04/03/2019, 21:03:03",9.384007945
"04/03/2019, 21:03:23",9.379807134
"04/03/2019, 21:03:43",8.806087716
"04/03/2019, 21:04:03",8.798429722
"04/03/2019, 21:04:23",8.790781447
"04/03/2019, 21:04:43",9.363031068
"04/03/2019, 21:05:03",8.775513991
"04/03/2019, 21:05:23",9.354659313
"04/03/2019, 21:05:43",9.350477498
"04/03/2019, 21:06:03",9.346298387
"04/03/2019, 21:06:23",8.745095038
"04/03/2019, 21:06:43",9.337948273
"04/03/2019, 21:07:03",9.333777265
"04/03/2019, 21:07:23",8.722381821
"04/03/2019, 21:07:43",8.714829908
"04/03/2019, 21:08:03",9.321280413
"04/03/2019, 21:08:23",8.69975473
"04/03/2019, 21:08:43",8.692231436
"04/03/2019, 21:09:03",9.308807773
"04/03/2019, 21:09:23",8.677213367
"04/03/2019, 21:09:43",9.300506103
"04/03/2019, 21:10:03",8.662233223
